TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Eliminaciones Molotov,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%),Primera Eliminación,GameID,GameStartTime,FightingStartTime,FinishedStartTime,ExportedAt
23,F1,8,575988039,F1īīTKT17,0,0,0,0,0,0,0,341,247,18m 57s,1m 15s,46,0,0,7608,1738,1,1,0,0,0,0,0,0,0,0,0,0,0,"101003,104003,104004","SCAR-L,S12K,DBS",SCAR-L:0.0 / S12K:0.0 / DBS:0.0,SCAR-L:0 / S12K:0 / DBS:0,SCAR-L:26 / S12K:0 / DBS:0,SCAR-L:0 / S12K:0 / DBS:0,26,0,0.00,,,,,,
23,F1,8,52237718215,F1īīSweett7,0,0,0,0,0,0,0,230,159,18m 57s,1m 12s,45,0,0,6664,2160,2,2,0,0,0,0,0,0,0,0,0,0,0,"101006,102002,101007","AUG A3,UMP45,QBZ",AUG A3:0.0 / UMP45:0.0 / QBZ:0.0,AUG A3:0 / UMP45:0 / QBZ:0,AUG A3:50 / UMP45:0 / QBZ:0,AUG A3:0 / UMP45:0 / QBZ:0,50,0,0.00,,,,,,
14,M5 ELITE,9,5111272784,XCDūWaos,0,2,556,289,1,5,1,124,680,18m 36s,6m 18s,658,0,0,6119,1844,0,1,2,0,0,0,0,1083,3,11,1,2,6,"101006,101003,101001","AUG A3,SCAR-L,AKM",AUG A3:227.7 / SCAR-L:192.1 / AKM:156.4,AUG A3:0 / SCAR-L:1 / AKM:1,AUG A3:133 / SCAR-L:116 / AKM:14,AUG A3:8 / SCAR-L:10 / AKM:5,263,23,8.75,,,,,,
14,M5 ELITE,9,51593830969,xsR4SH1SZN,0,3,272,151,0,2,1,231,352,16m 40s,3m 28s,298,0,0,8000,1532,0,0,3,0,0,0,0,1083,2,6,1,1,2,"101006,103006,105001,102002","AUG A3,Mini14,M249,UMP45",AUG A3:132.7 / Mini14:126.3 / M249:108.2 / UMP45:0.0,AUG A3:0 / Mini14:1 / M249:2 / UMP45:0,AUG A3:39 / Mini14:46 / M249:31 / UMP45:0,AUG A3:4 / Mini14:5 / M249:3 / UMP45:0,116,12,10.34,,,,,,
14,M5 ELITE,9,548886734,xsMalanga66,0,0,133,0,0,1,0,135,271,16m 27s,3m 6s,319,0,0,10924,1005,0,3,2,1,0,0,0,1083,0,4,2,0,1,"104003,101003","S12K,SCAR-L",S12K:0.0 / SCAR-L:144.3,S12K:0 / SCAR-L:0,S12K:0 / SCAR-L:118,S12K:0 / SCAR-L:7,118,7,5.93,,,,,,
14,M5 ELITE,9,533930483,xsXiaoZhu,0,0,122,0,2,0,0,202,258,13m 58s,5m 18s,229,0,0,6717,902,0,0,0,0,0,0,0,1083,0,4,1,1,0,"101004,104002,107010","M416,S1897,Arma 107010",M416:121.2 / S1897:0.0 / Arma 107010:0.0,M416:0 / S1897:0 / Arma 107010:0,M416:120 / S1897:0 / Arma 107010:0,M416:6 / S1897:0 / Arma 107010:0,120,6,5.00,,,,,,
8,MEL FC,10,5198004982,ūZOEū,0,0,122,0,1,0,0,111,443,18m 31s,8m 45s,410,0,0,3557,3573,0,0,6,0,0,0,0,221,0,3,0,0,0,"101003,102002","SCAR-L,UMP45",SCAR-L:52.1 / UMP45:0.0,SCAR-L:0 / UMP45:0,SCAR-L:47 / UMP45:0,SCAR-L:3 / UMP45:0,47,3,6.38,,,,,,
8,MEL FC,10,51368988286,FXPMELI,0,0,16,0,0,0,0,195,406,18m 20s,8m 34s,406,0,0,3198,3172,1,1,0,0,0,0,0,221,0,0,0,0,1,"105001,101004,102002,104004","M249,M416,UMP45,DBS",M249:0.0 / M416:16.0 / UMP45:0.0 / DBS:0.0,M249:0 / M416:0 / UMP45:0 / DBS:0,M249:7 / M416:40 / UMP45:0 / DBS:0,M249:0 / M416:1 / UMP45:0 / DBS:0,47,1,2.13,,,,,,
8,MEL FC,10,5232423271,XRCRIIZUUXXX,0,1,83,39,0,1,1,238,387,18m 8s,4m 12s,353,0,0,3755,3237,0,0,2,0,0,0,0,221,1,0,0,0,0,"101004,104002","M416,S1897",M416:54.6 / S1897:0.0,M416:1 / S1897:0,M416:48 / S1897:0,M416:1 / S1897:0,48,1,2.08,,,,,,
15,INFINIX GREEK DELTA,11,5279180717,Ｎ么SImFerco,0,0,0,0,0,1,0,104,226,18m 7s,2m 8s,195,0,0,3900,2323,1,0,3,1,0,0,0,329,0,0,0,0,0,"101003,105002,101006","SCAR-L,DP-28,AUG A3",SCAR-L:0.0 / DP-28:0.0 / AUG A3:0.0,SCAR-L:0 / DP-28:0 / AUG A3:0,SCAR-L:0 / DP-28:19 / AUG A3:0,SCAR-L:0 / DP-28:0 / AUG A3:0,19,0,0.00,,,,,,
15,INFINIX GREEK DELTA,11,5675513806,AC丨LUCI٭ं,0,0,156,0,0,0,0,186,170,17m 57s,1m 55s,157,0,0,2707,2736,1,1,3,0,0,0,0,329,0,5,0,1,2,"104003,103006","S12K,Mini14",S12K:37.2 / Mini14:98.4,S12K:0 / Mini14:0,S12K:4 / Mini14:84,S12K:4 / Mini14:4,88,8,9.09,,,,,,
15,INFINIX GREEK DELTA,11,5498538000,IFXaręs,0,0,72,0,0,0,0,179,23,16m 12s,0m 34s,35,0,0,3597,1767,0,0,0,0,0,0,0,329,1,0,0,0,0,"101007,103004,103005","QBZ,SKS,VSS",QBZ:0.0 / SKS:71.7 / VSS:0.0,QBZ:0 / SKS:0 / VSS:0,QBZ:54 / SKS:26 / VSS:0,QBZ:0 / SKS:1 / VSS:0,80,1,1.25,,,,,,
15,INFINIX GREEK DELTA,11,51625623166,IFXtukyzit,0,0,101,0,0,0,0,246,106,16m 11s,0m 48s,48,0,0,5651,1170,0,0,0,0,0,0,0,329,1,3,0,0,0,"101006,101008","AUG A3,M762",AUG A3:100.2 / M762:0.0,AUG A3:0 / M762:0,AUG A3:201 / M762:0,AUG A3:4 / M762:0,201,4,1.99,,,,,,
7,COMANDO,12,51618333798,C2sMUÑAÑO,0,1,362,33,0,2,0,181,89,15m 11s,0m 17s,17,0,0,1911,1414,0,3,1,1,0,0,0,662,2,5,1,1,4,"102002,103006","UMP45,Mini14",UMP45:438.6 / Mini14:0.0,UMP45:1 / Mini14:0,UMP45:188 / Mini14:9,UMP45:13 / Mini14:0,197,13,6.60,,,,,,
7,COMANDO,12,51943291691,C2sSACRØ³,0,0,197,0,1,1,0,274,105,15m 6s,0m 12s,11,0,0,3282,1143,0,1,1,0,0,0,0,662,2,4,1,0,1,"104003,101004,102001,106008","S12K,M416,UZI,Skorpion",S12K:0.0 / M416:226.2 / UZI:0.0 / Skorpion:0.0,S12K:0 / M416:0 / UZI:0 / Skorpion:0,S12K:0 / M416:85 / UZI:32 / Skorpion:0,S12K:0 / M416:8 / UZI:0 / Skorpion:0,117,8,6.84,,,,,,
7,COMANDO,12,533710945,C2sLALEY77K,0,0,77,0,0,0,0,207,22,14m 57s,0m 4s,3,0,0,2081,1388,2,1,1,0,0,0,0,662,0,2,0,0,1,"102002,103004,104002","UMP45,SKS,S1897",UMP45:76.5 / SKS:0.0 / S1897:0.0,UMP45:0 / SKS:0 / S1897:0,UMP45:41 / SKS:26 / S1897:1,UMP45:3 / SKS:0 / S1897:0,68,3,4.41,,,,,,
7,COMANDO,12,5147539306,C2sSIDSTAPPEN,0,1,26,159,0,0,0,257,96,13m 44s,0m 0s,0,0,0,2424,1564,0,0,0,0,0,0,0,662,0,1,0,0,1,"101002,103004,104003","M16A4,SKS,S12K",M16A4:33.5 / SKS:0.0 / S12K:0.0,M16A4:1 / SKS:0 / S12K:0,M16A4:13 / SKS:20 / S12K:0,M16A4:2 / SKS:0 / S12K:0,33,2,6.06,,,,,,
9,OMERTA ESPORTS,13,5265968490,OmeChxyyy,0,0,90,0,0,1,0,115,15,15m 2s,0m 0s,0,0,0,6904,1096,0,0,0,0,0,0,1,655,0,3,1,0,0,"105010,105002,102004,102001,106011","MG3,DP-28,Thompson SMG,UZI,Dual MP7",MG3:89.6 / DP-28:0.0 / Thompson SMG:0.0 / UZI:0.0 / Dual MP7:0.0,MG3:0 / DP-28:0 / Thompson SMG:0 / UZI:0 / Dual MP7:0,MG3:60 / DP-28:41 / Thompson SMG:10 / UZI:0 / Dual MP7:0,MG3:4 / DP-28:0 / Thompson SMG:0 / UZI:0 / Dual MP7:0,111,4,3.60,,,,,,
9,OMERTA ESPORTS,13,5274669614,OmeLovelyy,0,1,324,92,0,2,0,260,102,14m 21s,0m 0s,0,0,0,2517,1986,0,0,0,0,0,0,0,655,0,5,1,0,9,"103006,102002,101004,103008,104003,102001","Mini14,UMP45,M416,Win94,S12K,UZI",Mini14:22.5 / UMP45:89.0 / M416:230.8 / Win94:0.0 / S12K:0.0 / UZI:0.0,Mini14:0 / UMP45:1 / M416:0 / Win94:0 / S12K:0 / UZI:0,Mini14:5 / UMP45:43 / M416:59 / Win94:0 / S12K:0 / UZI:0,Mini14:1 / UMP45:4 / M416:10 / Win94:0 / S12K:0 / UZI:0,107,15,14.02,,,,,,
9,OMERTA ESPORTS,13,5146655797,OmeParceee,0,0,141,0,1,0,0,280,88,14m 13s,0m 0s,0,0,0,3050,1831,1,2,0,0,0,0,0,655,0,3,0,1,2,"105001,101008,105002","M249,M762,DP-28",M249:142.7 / M762:0.0 / DP-28:0.0,M249:0 / M762:0 / DP-28:0,M249:84 / M762:0 / DP-28:0,M249:6 / M762:0 / DP-28:0,84,6,7.14,,,,,,
9,OMERTA ESPORTS,13,520020134,stwEAXXY,0,0,100,0,0,1,0,196,0,3m 17s,0m 0s,0,0,0,0,263,0,0,0,0,0,0,0,655,2,2,0,0,0,102001,UZI,UZI:127.6,UZI:0,UZI:25,UZI:4,25,4,16.00,,,,,,
18,TOP ESPORTS,14,537616745,MFKYutagodd,0,2,124,321,0,1,0,203,376,15m 2s,5m 18s,308,0,0,8837,851,0,0,2,0,0,0,0,337,0,4,0,1,3,"104003,101003,101006,105001,106001","S12K,SCAR-L,AUG A3,M249,P92",S12K:0.0 / SCAR-L:86.1 / AUG A3:50.1 / M249:0.0 / P92:0.0,S12K:0 / SCAR-L:2 / AUG A3:0 / M249:0 / P92:0,S12K:1 / SCAR-L:81 / AUG A3:14 / M249:0 / P92:2,S12K:0 / SCAR-L:5 / AUG A3:3 / M249:0 / P92:0,98,8,8.16,,,,,,
18,TOP ESPORTS,14,5625109791,topProblemszzz,0,0,59,0,1,0,0,242,283,12m 56s,5m 16s,252,0,0,6969,1109,1,0,0,0,0,0,0,337,0,1,0,0,2,"101004,101001","M416,AKM",M416:58.4 / AKM:0.0,M416:0 / AKM:0,M416:49 / AKM:0,M416:3 / AKM:0,49,3,6.12,,,,,,
18,TOP ESPORTS,14,560769498,topMIAUUU57,0,2,100,158,0,1,0,205,266,12m 35s,5m 42s,256,0,0,6761,858,2,2,0,0,0,0,0,337,0,4,0,1,0,"105001,101007,102002","M249,QBZ,UMP45",M249:111.6 / QBZ:0.0 / UMP45:0.0,M249:2 / QBZ:0 / UMP45:0,M249:91 / QBZ:0 / UMP45:0,M249:5 / QBZ:0 / UMP45:0,91,5,5.49,,,,,,
18,TOP ESPORTS,14,5980701975,topLcJsi,0,0,54,0,1,0,0,211,172,11m 3s,5m 10s,187,0,0,6110,576,0,0,0,0,0,0,0,337,0,1,0,1,1,"101004,101007,104003","M416,QBZ,S12K",M416:53.1 / QBZ:0.0 / S12K:0.0,M416:0 / QBZ:0 / S12K:0,M416:19 / QBZ:19 / S12K:0,M416:3 / QBZ:0 / S12K:0,38,3,7.89,,,,,,
10,XR ESPORTS,15,5195900629,VE丶SnowBoy,0,1,149,121,0,0,0,67,199,13m 55s,3m 5s,230,0,0,5001,1188,0,4,0,0,0,0,0,483,0,3,0,0,4,"102002,101006","UMP45,AUG A3",UMP45:72.1 / AUG A3:77.6,UMP45:0 / AUG A3:1,UMP45:7 / AUG A3:124,UMP45:3 / AUG A3:4,131,7,5.34,,,,,,
10,XR ESPORTS,15,550771393,XRūDeiivisSss,0,1,196,7,0,1,0,182,6,8m 10s,0m 18s,12,0,0,1699,890,0,0,1,0,0,0,0,483,0,3,0,0,1,"101004,102002","M416,UMP45",M416:0.0 / UMP45:103.5,M416:0 / UMP45:1,M416:0 / UMP45:11,M416:0 / UMP45:4,11,4,36.36,,,,,,
